Id,SalePrice
1461,117015.6501302731
1462,158635.66826024465
1463,166361.12068041402
1464,195151.18630860356
1465,183556.58153334248
1466,171542.0706583375
1467,188049.77110349273
1468,165269.01793768702
1469,187409.80897796192
1470,116733.35396939477
1471,185926.91762299923
1472,108108.98042776671
1473,100411.70955113966
1474,150034.89657039742
1475,118912.72051883243
1476,349208.74269310065
1477,237625.56569182914
1478,290460.8198960903
1479,275979.5109770799
1480,479430.51137296384
1481,294016.15100094135
1482,201167.46478168888
1483,174066.6437782573
1484,165426.81535195853
1485,195372.48209045903
1486,198583.09338507307
1487,310238.25640896434
1488,238416.18977429642
1489,183529.25870816963
1490,230566.38933856666
1491,195944.18046307252
1492,91388.43406470682
1493,195371.4223831361
1494,291878.80955622473
1495,272184.4119889689
1496,224972.45820935574
1497,170019.15428487782
1498,161812.92543132417
1499,156870.3866460793
1500,158978.17464523925
1501,168191.45250789577
1502,155857.66078924874
1503,284118.4948340772
1504,248133.41373220057
1505,225309.1667648282
1506,197603.99997607013
1507,239751.35003250025
1508,192151.6634349191
1509,154292.92294023934
1510,136435.71733553128
1511,146113.03441567096
1512,175280.7357299443
1513,150055.54700045421
1514,142819.13832668986
1515,185167.67571021212
1516,148128.63463988245
1517,162959.52794937525
1518,133673.15373083958
1519,205385.2736433792
1520,126725.59016511081
1521,121926.24857439616
1522,180320.85039429626
1523,103218.53646691676
1524,122027.36953869084
1525,109907.97894559192
1526,101212.76275406471
1527,101663.61855258173
1528,149580.48515716442
1529,141605.06054389357
1530,202186.14661263564
1531,114785.03887216798
1532,108117.16765805605
1533,167065.51009639766
1534,130900.38881682589
1535,145859.45919299225
1536,112905.13550497474
1537,56101.39663844427
1538,140821.4249227449
1539,196375.2969204176
1540,86264.9236375154
1541,134064.78010230645
1542,133247.15701041877
1543,165991.80986441008
1544,89884.17183344722
1545,104194.60540458259
1546,135914.28350943248
1547,129843.91320341252
1548,128909.10604489576
1549,115103.50292107328
1550,123275.0623533152
1551,120373.58021285664
1552,131792.45911269044
1553,139546.2211277253
1554,125873.72423353742
1555,153651.91920858022
1556,89703.00346418058
1557,90481.1172753987
1558,105168.9305011377
1559,73079.02353503444
1560,133117.95229817423
1561,117918.02259592924
1562,137593.3243847199
1563,117503.49381409794
1564,158730.3837237105
1565,132176.49174497774
1566,232449.54360902944
1567,78879.91419369611
1568,232477.35945081688
1569,122902.16687603983
1570,148409.86452138453
1571,117400.80677122057
1572,144285.18089386474
1573,231091.59384613737
1574,111918.13850030348
1575,218146.53474120068
1576,248568.6791364316
1577,179987.06288463547
1578,135600.58754650227
1579,129797.99983071916
1580,198015.49795403957
1581,159910.96931753115
1582,126887.75781428965
1583,294562.028515268
1584,223382.00514268628
1585,142971.29096853986
1586,71185.9969608782
1587,100221.14064543904
1588,145247.872888571
1589,91919.16259099539
1590,140152.51544260446
1591,90602.77417287888
1592,119593.77483866754
1593,134192.32024679228
1594,125693.41312836055
1595,98885.60819827288
1596,197405.63734161045
1597,159992.0504749344
1598,195877.35155498685
1599,177082.6180956089
1600,172089.34806580056
1601,67775.55456585324
1602,116594.5427730294
1603,77948.67546025335
1604,251134.1792559751
1605,247233.57880311683
1606,169840.7478378807
1607,184829.4166988053
1608,226786.04413673418
1609,183298.8422431884
1610,149136.1123495722
1611,135335.20056471918
1612,170674.4311760585
1613,168860.22143620733
1614,139517.12481909883
1615,99390.4757957387
1616,82614.37591599415
1617,97619.19393925383
1618,123518.3903081666
1619,145136.94766440385
1620,149460.6965346023
1621,129704.29287642108
1622,151608.66633361948
1623,260850.106221759
1624,203007.1946739297
1625,114688.72991589598
1626,174261.53755986088
1627,188766.71449625344
1628,275224.28676443145
1629,171267.5970838257
1630,315564.96642967453
1631,214257.024270223
1632,217055.51240029788
1633,179499.73361410544
1634,187214.78885345176
1635,184235.93520356083
1636,160177.4868715645
1637,195477.10115869762
1638,191227.16535544978
1639,185153.5655543994
1640,263059.94487058354
1641,180083.6848433301
1642,236805.4148741681
1643,231237.5843917739
1644,225119.29950265682
1645,240408.31147483826
1646,168585.5622083605
1647,165334.8742082946
